player_api_id,player_name,birthday,height,weight
505942,Aaron Appindangoye,1992-02-29 00:00:00,182.88,187
155782,Aaron Cresswell,1989-12-15 00:00:00,170.18,146
162549,Aaron Doran,1991-05-13 00:00:00,170.18,163
30572,Aaron Galindo,1982-05-08 00:00:00,182.88,198
23780,Aaron Hughes,1979-11-08 00:00:00,182.88,154
27316,Aaron Hunt,1986-09-04 00:00:00,182.88,161
564793,Aaron Kuhl,1996-01-30 00:00:00,172.72,146
30895,Aaron Lennon,1987-04-16 00:00:00,165.1,139
528212,Aaron Lennox,1993-02-19 00:00:00,190.5,181
101042,Aaron Meijers,1987-10-28 00:00:00,175.26,170
23889,Aaron Mokoena,1980-11-25 00:00:00,182.88,181
231592,Aaron Mooy,1990-09-15 00:00:00,175.26,150
163222,Aaron Muirhead,1990-08-30 00:00:00,187.96,168
40719,Aaron Niguez,1989-04-26 00:00:00,170.18,143
75489,Aaron Ramsey,1990-12-26 00:00:00,177.8,154
597948,Aaron Splaine,1996-10-13 00:00:00,172.72,163
161644,Aaron Taylor-Sinclair,1991-04-08 00:00:00,182.88,176
23499,Aaron Wilbraham,1979-10-21 00:00:00,190.5,159
120919,Aatif Chahechouhe,1986-07-02 00:00:00,175.26,150
46447,Abasse Ba,1976-07-12 00:00:00,187.96,185
167027,Abdelaziz Barrada,1989-06-19 00:00:00,177.8,161
245653,Abdelfettah Boukhriss,1986-10-22 00:00:00,185.42,161
128456,Abdelhamid El Kaoutari,1990-03-17 00:00:00,180.34,161
42664,Abdelkader Ghezzal,1984-12-05 00:00:00,182.88,172
425950,Abdellah Zoubir,1991-12-05 00:00:00,180.34,161
38423,Abdelmajid Oulmers,1978-09-12 00:00:00,172.72,143
3264,Abdelmalek Cherrad,1981-01-14 00:00:00,185.42,165
467485,Abdelmalek El Hasnaoui,1994-02-09 00:00:00,180.34,159
306735,Abdelouahed Chakhsi,1986-10-01 00:00:00,182.88,170
41659,Abderrazak Jadid,1983-06-01 00:00:00,177.8,157
31684,Abdeslam Ouaddou,1978-11-01 00:00:00,190.5,181
32637,Abdessalam Benjelloun,1985-01-28 00:00:00,187.96,179
563215,Abdou Diallo,1996-05-04 00:00:00,182.88,159
41093,Abdou Traore,1988-01-17 00:00:00,180.34,174
564712,Abdoul Ba,1994-02-08 00:00:00,200.66,212
67334,Abdoul Karim Yoda,1988-10-25 00:00:00,182.88,161
173955,Abdoul Razzagui Camara,1990-02-20 00:00:00,177.8,157
39562,Abdoulay Konko,1984-03-09 00:00:00,182.88,157
191784,Abdoulaye Ba,1991-01-01 00:00:00,198.12,174
210400,Abdoulaye Bamba,1990-04-25 00:00:00,182.88,150
201915,Abdoulaye Diaby,1991-05-21 00:00:00,172.72,154
194479,"Abdoulaye Diallo Sadio,22",1990-12-28 00:00:00,182.88,168
189181,Abdoulaye Diallo,1992-03-30 00:00:00,187.96,174
352887,Abdoulaye Doucoure,1993-01-01 00:00:00,182.88,165
40005,Abdoulaye Faye,1978-02-26 00:00:00,187.96,218
409003,Abdoulaye Keita,1994-01-05 00:00:00,175.26,165
37280,Abdoulaye Meite,1980-10-06 00:00:00,185.42,181
439366,Abdoulaye Toure,1994-03-03 00:00:00,187.96,170
148827,Abdoulwahid Sissoko,1990-03-20 00:00:00,182.88,165
173011,Abdourahman Dampha,1991-12-27 00:00:00,182.88,168
419681,Abdul Aziz Tetteh,1989-02-10 00:00:00,182.88,190
196947,Abdul Majeed Waris,1991-09-19 00:00:00,172.72,157
89405,Abdul Osman,1987-02-27 00:00:00,182.88,154
324910,Abdul Rahman Baba,1994-07-02 00:00:00,177.8,154
67952,Abdul-Yakinu Iddi,1986-05-25 00:00:00,172.72,146
31012,Abdulkader Keita,1981-08-06 00:00:00,182.88,172
176301,Abdulla Fatadi,1985-11-02 00:00:00,175.26,172
307227,Abdullah Al Hafith,1992-12-25 00:00:00,187.96,165
176302,Abdullah Omar,1987-01-01 00:00:00,175.26,157
525595,Abdullahi Shehu,1993-03-12 00:00:00,180.34,159
24385,Abel Aguilar,1985-01-06 00:00:00,185.42,176
29904,Abel Gomez,1982-02-20 00:00:00,182.88,165
105548,Abel Hernandez,1990-08-08 00:00:00,185.42,161
172875,Abel Issa Camara,1990-01-06 00:00:00,185.42,179
302985,Abel Khaled,1992-11-09 00:00:00,180.34,148
240556,Abel Tamata,1990-12-05 00:00:00,182.88,170
40938,Abel,1978-12-22 00:00:00,177.8,165
37422,Abella Perez Damia,1982-04-15 00:00:00,187.96,174
114503,Abiola Dauda,1988-02-03 00:00:00,180.34,165
